    Soil_Type,Soil_pH,Soil_Moisture,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Recommended_Fertilizer
Loamy,8.35,53.1,153,25,58,39.55,44.53,2370.25,Cotton,DAP
Silt,5.86,36.36,108,47,107,38.43,73.34,709.32,Cotton,MOP
Sandy,8.0,10.54,115,78,79,15.03,40.78,696.76,Cotton,Zinc Sulphate
Sandy,7.49,29.64,118,67,28,26.04,77.27,1947.2,Cotton,MOP
Loamy,8.23,31.37,147,84,66,10.12,40.79,1733.06,Cotton,Zinc Sulphate
Loamy,5.68,52.49,153,81,29,18.35,89.2,2648.49,Cotton,MOP
Loamy,4.61,17.39,25,18,67,30.57,56.47,663.62,Cotton,Urea
Loamy,8.23,24.83,20,23,90,19.71,67.87,1104.87,Cotton,Urea
Clay,5.9,21.81,122,56,112,26.98,75.45,2748.92,Cotton,Compost
Loamy,8.2,25.82,127,71,102,32.59,81.46,428.69,Cotton,Zinc Sulphate
Sandy,7.69,20.58,26,57,91,34.21,31.46,1087.11,Cotton,Urea
Silt,4.87,58.97,84,76,86,26.17,32.92,1351.47,Cotton,Compost
Sandy,7.23,41.04,148,50,98,12.33,69.01,557.53,Cotton,Zinc Sulphate
Loamy,6.18,38.49,115,20,108,37.67,79.31,1298.14,Cotton,DAP
Silt,7.05,17.01,67,24,98,31.84,37.4,627.65,Cotton,DAP
Silt,4.76,46.24,24,41,102,27.08,76.89,638.9,Cotton,Urea
Loamy,6.27,10.96,119,73,103,26.91,56.69,838.82,Cotton,Compost
Silt,5.64,51.11,53,65,115,35.18,36.43,2962.44,Cotton,Urea
Sandy,5.78,49.55,26,79,103,16.72,85.81,2411.94,Cotton,Urea
Sandy,6.57,43.59,155,26,61,25.93,32.92,612.94,Cotton,DAP
Silt,6.3,44.05,52,35,64,38.82,45.95,2474.66,Cotton,Urea
Sandy,8.23,47.48,45,70,104,33.61,76.22,303.38,Cotton,Urea
Sandy,6.9,26.39,124,72,13,35.2,47.14,2669.47,Cotton,MOP
